Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
653,32,21,32,53,42
654,32,21,33,51,43
655,32,21,33,52,44
656,32,21,33,52,44
657,32,22,33,52,43
658,32,21,33,52,42
659,32,21,33,50,41
660,32,21,34,50,42
661,32,20,34,50,42
662,32,20,34,50,43
663,32,20,34,49,43
664,32,20,34,49,42
665,32,20,34,49,42
666,32,20,34,49,42
667,32,19,34,48,42
668,32,19,34,48,43
669,32,19,35,48,43
670,32,19,34,45,40
671,32,19,35,46,41
672,32,18,35,46,41
673,32,18,35,45,43
674,32,18,35,45,43
675,32,18,35,45,43
676,32,18,35,44,42
677,32,17,35,44,42
678,32,17,35,43,44
679,32,17,35,43,44
680,32,18,35,42,44
681,32,18,35,42,42
682,32,17,35,42,42
683,32,17,35,41,42
684,32,16,35,41,42
685,32,16,35,40,43
686,32,16,35,40,43
687,32,16,35,39,42
688,32,16,35,39,42
689,32,16,35,39,41
690,32,16,35,38,41
691,32,16,35,38,40
692,32,15,35,37,40
693,32,14,35,37,40
694,32,13,35,37,45
695,32,13,35,36,47
696,32,14,34,37,47
697,32,15,34,36,44
698,32,15,34,36,41
699,32,15,34,36,40
700,32,14,34,35,42
701,32,14,34,35,43
702,32,14,34,35,42
703,32,14,34,35,42
704,32,14,34,34,42
705,32,13,34,34,41
706,32,14,34,34,44
707,32,14,34,33,42
708,32,14,34,33,41
709,32,13,34,33,40
710,32,11,34,33,44
711,32,12,34,32,46
712,32,13,33,33,45
713,32,13,33,33,43
714,32,14,33,33,41
715,32,14,33,32,40
716,32,12,33,32,40
717,32,11,33,32,46
718,32,12,33,32,46
719,32,13,33,32,45
720,32,13,33,32,43
721,32,13,33,32,43
722,32,14,33,31,42
723,32,13,33,31,41
724,32,13,33,31,42
725,32,13,33,31,42
726,32,13,33,31,41
727,32,13,33,31,41
728,32,13,33,31,41
729,32,13,32,31,42
730,32,12,32,31,43
731,32,12,32,31,44
732,32,13,32,31,43
733,32,13,32,31,42
734,32,13,32,31,42
735,32,13,32,31,42
736,32,13,32,31,42
737,32,13,32,31,42
738,32,12,32,31,42
739,32,11,32,31,43
740,32,11,32,31,45
741,32,12,32,31,46
742,32,13,32,31,44
743,32,13,32,31,42
744,32,13,32,31,42
745,32,13,32,31,42
746,32,13,32,31,42
747,32,13,32,31,42
748,32,12,32,31,44
749,32,13,32,31,43
750,32,13,32,31,42
751,32,13,32,31,42
752,32,13,32,31,42
753,32,13,31,34,45
754,32,13,31,33,43
755,32,13,31,32,43
756,32,13,31,33,43
757,32,14,31,33,43
758,32,13,31,33,41
759,32,13,31,33,41
760,32,13,31,33,44
761,32,13,31,33,44
762,32,14,31,33,44
763,32,14,31,34,43
764,32,14,31,34,41
765,32,14,31,34,41
766,32,13,31,34,42
767,32,13,31,34,45
768,32,14,31,34,44
769,32,14,31,34,42
770,32,14,31,35,42
771,32,14,31,35,42
772,32,14,31,35,42
773,32,14,31,35,42
774,32,14,31,35,43
775,32,14,31,35,43
776,32,15,31,35,40
777,32,14,32,35,42
778,32,14,31,36,43
779,32,13,31,38,44
780,32,14,31,35,45
781,32,15,32,36,45
782,32,15,31,35,40
783,32,13,32,36,43
784,32,13,31,36,51
785,32,14,31,36,47
786,32,15,31,36,44
787,32,15,31,35,42
788,32,15,31,37,42
789,32,15,31,35,40
790,32,15,32,34,43
791,32,14,32,36,41
792,32,14,32,36,43
793,32,14,32,36,44
794,32,15,32,36,42
795,32,15,32,36,41
796,32,14,32,36,41
797,32,14,32,36,43
798,32,15,32,36,44
799,32,15,32,36,41
800,32,14,32,36,43
801,32,14,32,36,44
802,32,14,32,36,44
803,32,15,32,36,42
804,32,14,32,36,41
805,32,13,32,36,42
806,32,13,32,36,49
807,32,14,32,36,47
808,32,15,32,36,43
809,32,15,32,36,41
810,32,15,32,36,41
811,32,15,32,36,41
812,32,14,32,36,43
813,32,14,32,36,44
814,32,15,32,36,42
815,32,15,32,36,41
816,32,14,32,36,41
817,32,14,32,36,44
818,32,15,32,36,41
819,32,15,32,36,41
820,32,14,32,36,41
821,32,14,32,36,42
822,32,14,32,36,44
823,32,15,32,36,41
824,32,15,32,36,40
825,32,14,32,36,42
826,32,14,32,36,44
827,32,14,32,36,44
828,32,15,32,36,44
829,32,15,32,36,40
830,32,13,32,36,42
831,32,13,32,36,47
832,32,13,32,36,48
833,32,14,32,36,47
834,32,15,32,36,41
835,32,15,32,36,41
836,32,15,32,36,41
837,32,14,32,36,42
838,32,14,32,36,44
839,32,14,32,36,44
840,32,15,32,36,41
841,32,14,32,36,42
842,32,12,32,36,46
843,32,13,32,36,48
844,32,14,32,36,47
845,32,15,32,36,44
846,32,15,32,36,41
847,32,14,32,36,41
848,32,14,32,36,44
849,32,14,32,36,44
850,32,14,32,36,44
851,32,15,32,36,44
852,32,15,32,36,41
853,32,15,32,36,41
854,32,14,32,36,41
855,32,15,32,36,44
