SETPOINT,PV 1,PV 2,MV 1,MV 2,Outcome
32,17,32,38,40,2
32,16,32,38,39,2
32,15,32,38,40,2
32,14,32,38,44,2
32,15,32,38,46,2
32,15,32,38,44,2
32,16,32,38,43,2
32,16,32,38,41,2
32,15,32,38,41,2
32,14,32,38,42,2
32,15,32,38,45,2
32,15,32,38,43,2
32,16,32,38,42,2
32,15,32,38,41,2
32,15,32,38,42,2
32,15,32,38,43,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,14,32,38,43,2
32,15,32,38,45,2
32,15,32,38,43,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,13,32,38,43,2
32,13,32,38,48,2
32,14,32,38,51,2
32,15,32,38,47,2
32,16,32,38,43,2
32,17,32,38,42,2
32,17,32,38,40,2
32,16,32,38,40,2
32,16,32,38,41,2
32,14,32,38,44,2
32,13,32,38,49,2
32,15,32,38,48,2
32,16,32,38,45,2
32,16,32,38,42,2
32,16,32,38,42,2
32,16,32,38,41,2
32,15,32,38,42,2
32,15,32,38,43,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,14,32,38,43,2
32,13,32,38,47,2
32,14,32,38,50,2
32,15,32,38,49,2
32,16,32,38,45,2
32,16,32,38,42,2
32,16,32,38,42,2
32,15,32,38,41,2
32,13,32,38,45,2
32,14,32,38,48,2
32,15,32,38,48,2
32,16,32,38,45,2
32,16,32,38,42,2
32,16,32,38,41,2
32,16,32,38,41,2
32,15,32,38,41,2
32,15,32,38,41,2
32,15,32,38,42,2
32,15,32,38,42,2
32,14,32,38,45,2
32,15,32,38,46,2
32,15,32,38,43,2
32,16,32,38,43,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,16,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,14,32,38,42,2
32,15,32,38,44,2
32,15,32,38,42,2
32,15,32,38,42,2
32,15,32,38,42,2
32,13,32,38,42,2
32,13,32,38,47,2
32,14,32,38,50,2
32,15,32,38,46,2
32,16,32,38,44,2
32,15,32,38,42,2
32,16,32,38,44,2
32,16,32,38,43,2
32,16,32,38,41,2
32,15,32,38,41,2
8,14,32,30,35,3
8,12,32,27,34,3
8,11,32,23,33,3
8,9,32,19,33,3
8,7,31,18,35,3
8,6,31,13,33,3
8,4,31,9,33,3
8,3,31,6,33,3
8,1,30,4,33,3
8,0,29,0,34,3
8,0,28,0,36,3
8,0,26,1,35,3
8,0,25,0,36,3
8,0,23,3,35,3
8,0,22,0,36,3
8,0,20,1,39,3
8,0,19,0,36,3
8,0,17,0,36,3
8,0,16,3,36,3
8,0,15,0,40,3
8,0,14,0,41,3
8,1,13,0,40,3
8,1,12,0,37,3
8,0,11,0,37,3
8,0,10,5,37,3
8,0,9,5,38,3
8,0,8,3,38,3
8,1,7,4,40,3
8,1,7,2,40,3
8,0,6,8,46,3
8,2,6,3,42,3
8,2,6,4,38,3
8,2,6,4,38,3
8,1,7,2,38,3
8,0,7,4,36,3
8,1,6,5,45,3
8,2,6,5,43,3
8,3,6,5,41,3
8,3,6,6,38,3
8,2,7,3,38,3
8,1,7,5,40,3
8,1,7,5,44,3
8,3,6,7,44,3
8,3,7,5,38,3
8,3,7,6,38,3
8,1,8,2,39,3
8,1,8,5,41,3
8,2,7,8,47,3
8,3,7,6,43,3
8,4,8,6,37,3
8,3,8,6,36,3
8,2,9,0,37,3
8,1,9,5,40,3
8,2,9,5,43,3
8,2,8,5,42,3
8,3,9,4,37,3
8,2,9,4,36,3
8,1,9,4,39,3
8,1,9,4,42,3
8,2,9,4,43,3
8,2,9,4,39,3
8,2,9,4,38,3
8,1,9,4,39,3
8,1,9,3,42,3
8,1,8,6,42,3
8,2,8,4,46,3
8,3,9,4,36,3
8,2,9,3,34,3
8,1,9,3,37,3
8,1,9,3,40,3
8,1,8,5,40,3
8,0,8,3,42,3
8,1,7,7,43,3
8,2,7,4,42,3
8,3,7,4,39,3
8,3,7,5,37,3
8,1,8,3,32,3
8,1,8,4,39,3
8,1,7,6,41,3
8,1,7,5,43,3
8,1,7,5,44,3
8,2,6,10,45,3
8,3,7,1,44,3
8,4,7,6,40,3
